Nome do vendedor;Produto vendido;Quantidade unitária;Valor do produto;Valor da venda;Data da compra;Localização
Joaquim Souza;Produto B;9;33.32;299.88;12/01/2023;PI
Lorenzo da Luz;Produto B;10;94.38;943.8;24/03/2023;DF
Gustavo Henrique Moreira;Produto E;9;84.45;760.05;11/06/2022;PE
Lorena da Costa;Produto C;5;34.14;170.7;24/12/2022;RO
Caio Monteiro;Produto C;2;94.42;188.84;27/05/2022;MG
Lívia Caldeira;Produto C;6;66.87;401.22;18/12/2022;MS
Isadora da Cunha;Produto E;9;49.25;443.25;20/07/2022;MA
João Vitor da Mota;Produto D;10;41.71;417.1;20/03/2023;RJ
Maria Julia Araújo;Produto D;5;10.41;52.05;24/05/2022;PA
Dra. Maria Fernanda Cavalcanti;Produto D;9;19.88;178.92;31/03/2023;MS
Maria Luiza da Rocha;Produto C;9;20.48;184.32;30/12/2022;RO
Heloísa Souza;;1;98.41;98.41;27/04/2023;SC
Fernanda Nascimento;Produto B;10;78.38;783.8;07/01/2023;MT
Cauê Almeida;Produto E;3;19.89;59.67;13/05/2023;MS
Gustavo Duarte;Produto B;2;91.37;182.74;24/07/2022;AM
Enzo Oliveira;Produto C;1;75.08;75.08;24/08/2022;PB
Vitor Gabriel Campos;Produto E;3;51.67;155.01;11/01/2023;BA
Gustavo Correia;Produto B;1;29.75;29.75;24/05/2022;MA
Dra. Emanuelly Martins;Produto B;5;99.7;498.5;02/07/2022;PE
Beatriz Moraes;Produto D;9;95.9;863.1;06/07/2022;DF
Fernanda Nascimento;Produto C;9;11.01;99.09;13/05/2023;RJ
Luana da Mota;Produto B;5;27.13;135.65;07/02/2023;MA
Luiz Fernando Cardoso;Produto B;4;32.04;128.16;03/07/2022;PR
João Felipe Azevedo;Produto A;3;47.86;143.58;06/09/2022;AL
Evelyn da Conceição;Produto E;6;18.95;113.7;17/01/2023;BA
Sophie Novaes;Produto E;10;96.93;969.3;10/08/2022;AM
Fernanda Nascimento;Produto A;3;45.47;136.41;08/06/2022;DF
Maria Sophia Porto;Produto A;2;60.46;120.92;03/11/2022;MG
Mirella Jesus;Produto D;10;86.98;869.8;23/07/2022;BA
Lívia da Rocha;Produto B;2;81.73;163.46;03/08/2022;RS
Luana Moraes;Produto D;9;84.06;756.54;02/08/2022;RO
Fernanda Nascimento;Produto B;7;17.79;124.53;06/01/2023;PA
Lucca Lopes;Produto B;5;22.25;111.25;24/12/2022;RR
Dr. Lucca Nogueira;Produto D;6;77.1;462.6;20/01/2023;MA
Joana Cavalcanti;Produto D;6;75.45;452.7;12/10/2022;BA
Lorenzo Ferreira;Produto E;6;98.36;590.16;06/03/2023;TO
Dr. Leonardo Duarte;Produto D;7;57.47;402.29;31/07/2022;BA
Fernanda Nascimento;Produto B;8;52.74;421.92;04/01/2023;AP
Eloah da Mata;Produto C;10;51.21;512.1;15/09/2022;SC
Fernanda Nascimento;Produto B;9;57.5;517.5;07/05/2023;CE
Dr. Luigi Barros;Produto D;5;44.79;223.95;14/04/2023;PR
Luna Barros;Produto C;6;27.47;164.82;05/07/2022;PE
Cauê da Mata;Produto C;9;17.38;156.42;09/12/2022;GO
Sophie Pereira;Produto C;10;43.83;438.3;05/08/2022;MS
Bruna Cunha;Produto E;5;84.06;420.3;12/04/2023;RR
Agatha Cardoso;Produto C;1;38.28;38.28;16/06/2022;MT
Felipe Pinto;Produto A;3;50.55;151.65;15/11/2022;AM
Giovanna Teixeira;Produto E;4;99.68;398.72;22/03/2023;MT
Mirella Lopes;Produto C;9;69.62;626.58;03/10/2022;DF
Davi Ferreira;Produto B;9;52.97;476.73;06/11/2022;AP
Fernanda Nascimento;Produto C;6;72.34;434.04;08/02/2023;MS
Luiz Miguel Ramos;Produto D;8;13.52;108.16;15/05/2023;MS
Fernanda Nascimento;Produto A;2;91.09;182.18;29/12/2022;SE
Felipe Costa;Produto D;9;56.49;508.41;24/10/2022;AP
Gabriel Dias;Produto C;8;62.57;500.56;17/10/2022;PA
Maysa Martins;Produto E;3;55.62;166.86;06/04/2023;RN
Fernanda Nascimento;Produto E;8;11.4;91.2;28/04/2023;AC
Brenda da Rocha;Produto D;3;39.78;119.34;07/09/2022;ES
Isabelly Lopes;;9;39.98;359.82;14/11/2022;ES
Fernanda Nascimento;Produto D;3;18.7;56.1;23/11/2022;TO
Rafaela da Costa;Produto C;7;82.4;576.8;21/04/2023;AL
Eduarda da Cruz;Produto B;7;43.2;302.4;30/09/2022;DF
André Almeida;Produto E;7;18.83;131.81;28/05/2022;RS
Gabriela Barros;Produto E;4;48.62;194.48;13/08/2022;RJ
Dr. Nathan Cavalcanti;Produto D;9;73.57;662.13;24/01/2023;RO
Breno Porto;Produto E;10;14.88;148.8;30/04/2023;MS
Yuri Melo;Produto D;5;15.54;77.7;07/04/2023;TO
Pedro Pereira;Produto C;1;24.75;24.75;19/02/2023;CE
Rafael Araújo;Produto A;1;94.89;94.89;05/03/2023;ES
Dr. Nathan Nascimento;Produto D;6;45.58;273.48;18/11/2022;MG
Fernanda Nascimento;Produto B;8;40.9;327.2;28/05/2022;MG
Ana Julia Martins;Produto B;5;71.07;355.35;01/12/2022;PA
Thiago Nogueira;Produto E;7;56.93;398.51;24/05/2022;AL
Ana Sophia Farias;Produto E;1;39.69;39.69;16/08/2022;RO
Juan Dias;Produto D;9;34.8;313.2;29/08/2022;SC
Ana Luiza Mendes;Produto E;6;29.5;177.0;27/07/2022;MT
Maria Eduarda Nunes;Produto D;4;84.67;338.68;21/10/2022;AL
Heitor Barbosa;Produto A;3;48.67;146.01;12/10/2022;DF
Ana Lívia Almeida;Produto E;2;48.56;97.12;09/10/2022;PB
Gustavo Henrique Barros;Produto E;6;59.24;355.44;23/10/2022;TO
Pietro Duarte;Produto A;8;36.28;290.24;08/07/2022;CE
Davi Lucca Souza;Produto E;8;59.64;477.12;21/01/2023;MA
Kamilly Costela;Produto C;8;56.44;451.52;30/06/2022;TO
Carlos Eduardo da Luz;Produto A;7;85.46;598.22;18/06/2022;MS
Maria Clara Ramos;Produto D;6;81.31;487.86;11/08/2022;PR
Thales Santos;Produto C;10;12.99;129.9;12/06/2022;AM
Caroline Moura;Produto C;2;14.38;28.76;09/08/2022;AM
Diego da Cruz;Produto B;5;86.87;434.35;04/08/2022;MT
Lucas Peixoto;Produto B;3;85.07;255.21;30/05/2022;RJ
Alícia Ramos;Produto A;6;23.1;138.6;18/03/2023;SE
Dra. Ana Julia Cunha;Produto A;2;76.67;153.34;14/11/2022;PI
Joana Rocha;Produto B;3;81.92;245.76;18/03/2023;SP
Dra. Valentina Viana;Produto A;1;42.83;42.83;02/05/2023;ES
Vinicius Ribeiro;Produto D;7;14.58;102.06;24/01/2023;CE
Milena Martins;Produto B;1;76.73;76.73;15/04/2023;PA
Evelyn Melo;Produto C;9;91.16;820.44;20/07/2022;CE
Gabrielly Caldeira;Produto C;2;43.46;86.92;23/08/2022;CE
Isis Ramos;Produto E;6;43.77;262.62;22/04/2023;DF
Mariana Nascimento;Produto A;8;48.82;390.56;14/06/2022;PE
Caio Araújo;Produto D;9;69.95;629.55;17/10/2022;PR
Joaquim Lopes;Produto A;6;78.44;470.64;17/04/2023;RJ
Fernanda Nascimento;Produto A;2;86.9;173.8;03/04/2023;RS
Sarah da Rocha;Produto E;10;85.21;852.1;17/10/2022;SC
Dra. Melissa Costa;Produto E;3;31.9;95.7;11/01/2023;RO
Enzo Gabriel da Mota;Produto E;7;31.17;218.19;20/05/2023;CE
Sofia Melo;Produto B;6;36.5;219.0;31/01/2023;DF
Yago Pires;Produto B;10;47.68;476.8;05/01/2023;MS
Stephany Moreira;Produto D;5;30.1;150.5;21/07/2022;AM
Isaac da Mata;Produto B;2;51.09;102.18;04/10/2022;RJ
Sofia Freitas;Produto A;4;33.42;133.68;09/02/2023;AP
Ana Farias;Produto A;10;49.87;498.7;20/08/2022;BA
Dr. Leonardo Souza;Produto A;7;42.77;299.39;24/04/2023;MG
Fernanda Mendes;Produto A;8;98.12;784.96;31/07/2022;MT
Kaique Silveira;Produto A;10;41.13;411.3;19/10/2022;DF
Carlos Eduardo da Costa;Produto A;6;39.46;236.76;25/11/2022;TO
Fernanda Nascimento;Produto D;9;60.96;548.64;04/02/2023;DF
Anthony Jesus;Produto A;6;37.24;223.44;17/08/2022;RN
Raquel Jesus;Produto D;4;63.94;255.76;10/03/2023;PB
Olivia Gonçalves;Produto D;9;84.13;757.17;01/05/2023;AL
Luiz Gustavo Campos;Produto A;4;20.33;81.32;04/10/2022;RO
Maria Clara da Cunha;Produto E;8;50.51;404.08;10/05/2023;SC
Lucca Caldeira;Produto B;7;43.62;305.34;28/09/2022;RO
Dr. Raul da Mata;Produto C;3;81.0;243.0;15/05/2023;MT
Daniel Almeida;Produto E;3;68.52;205.56;04/05/2023;CE
Rodrigo das Neves;Produto E;9;72.87;655.83;02/09/2022;RJ
Natália Peixoto;;7;72.24;505.68;24/03/2023;SC
Guilherme Rezende;Produto C;3;26.57;79.71;17/03/2023;AL
