jogador;genero;data_nascimento;jogo;pais;num_vitorias;num_derrotas;total_partidas
jogador 1;Masculino;03/09/1990;Dama;Chile;14;0;14
Jogador 2;Feminino;01/05/1986;Jogo da velha;Chile;39;20;59
Jogador 3;Masculino;04/10/1964;Jogo da velha;Brasil;26;3;29
Jogador 4;Masculino;28/09/1979;Jogo da velha;Argentina;9;72;81
Jogador 5;Masculino;03/09/1978;Dama;Uruguai;1;54;55
Jogador 6;Masculino;04/11/1977;Xadrez;Brasil;88;0;88
Jogador 7;Masculino;11/11/1986;Xadrez;Argentina;53;24;77
Jogador 8;Feminino;18/03/1996;Jogo da velha;Brasil;35;27;62
Jogador 9;Masculino;14/01/1969;Dama;Paraguai;27;18;45
Jogador 10;Masculino;06/05/2004;Xadrez;Chile;4;1;5
Jogador 11;Masculino;25/09/1975;Xadrez;Brasil;18;48;66
Jogador 12;Feminino;05/07/1992;Xadrez;Uruguai;22;2;24
Jogador 13;Masculino;19/06/1996;Xadrez;Chile;13;4;17
Jogador 14;Feminino;08/10/1980;Dama;Argentina;22;52;74
Jogador 15;Feminino;18/10/1955;Dama;Chile;38;48;86
Jogador 16;Feminino;01/11/1999;Xadrez;Chile;86;13;99
Jogador 17;Masculino;01/02/1984;Xadrez;Brasil;41;11;52
Jogador 18;Feminino;07/02/1981;Jogo da velha;Chile;53;20;73
Jogador 19;Feminino;11/08/2004;Xadrez;Chile;4;77;81
Jogador 20;Masculino;30/06/1954;Jogo da velha;Argentina;28;12;40
Jogador 21;Feminino;05/09/1954;Xadrez;Brasil;10;82;92
Jogador 22;Feminino;16/06/1955;Xadrez;Uruguai;40;31;71
Jogador 23;Feminino;30/12/1997;Xadrez;Uruguai;11;18;29
Jogador 24;Masculino;30/11/1988;Xadrez;Paraguai;5;12;17
Jogador 25;Feminino;28/12/1970;Jogo da velha;Paraguai;8;58;66
Jogador 26;Feminino;15/02/1963;Jogo da velha;Uruguai;4;6;10
Jogador 27;Feminino;31/07/1994;Jogo da velha;Chile;84;11;95
Jogador 28;Masculino;15/12/1962;Xadrez;Paraguai;10;32;42
Jogador 29;Masculino;22/11/1984;Dama;Brasil;9;22;31
Jogador 30;Feminino;17/03/2003;Xadrez;Paraguai;10;46;56
Jogador 31;Masculino;17/01/1959;Dama;Paraguai;38;6;44
Jogador 32;Masculino;24/03/1951;Jogo da velha;Uruguai;2;47;49
Jogador 33;Feminino;14/07/1953;Xadrez;Chile;46;36;82
Jogador 34;Feminino;12/09/1956;Xadrez;Argentina;16;4;20
Jogador 35;Masculino;09/12/1951;Xadrez;Uruguai;33;3;36
Jogador 36;Masculino;05/12/1973;Jogo da velha;Brasil;48;31;79
Jogador 37;Feminino;07/11/1989;Dama;Paraguai;36;18;54
Jogador 38;Masculino;06/11/1966;Dama;Brasil;1;42;43
Jogador 39;Masculino;07/03/1955;Jogo da velha;Chile;23;4;27
Jogador 40;Masculino;06/02/1990;Jogo da velha;Chile;8;23;31
Jogador 41;Masculino;17/07/1953;Dama;Paraguai;8;17;25
Jogador 42;Feminino;18/06/1998;Dama;Paraguai;1;14;15
Jogador 43;Masculino;14/07/1951;Dama;Argentina;31;7;38
Jogador 44;Masculino;25/04/1982;Jogo da velha;Argentina;16;44;60
Jogador 45;Feminino;22/06/1992;Xadrez;Paraguai;23;35;58
Jogador 46;Feminino;12/02/2005;Dama;Uruguai;2;14;16
Jogador 47;Masculino;31/01/1978;Dama;Uruguai;;68;85
Jogador 48;Feminino;30/12/2005;Dama;Argentina;46;4;50
Jogador 49;Feminino;01/08/1982;Dama;Brasil;4;28;32
Jogador 50;Feminino;05/07/1995;Xadrez;Paraguai;41;11;52
Jogador 51;Masculino;15/11/1959;Xadrez;Uruguai;74;13;87
Jogador 52;Feminino;20/08/1957;Dama;Paraguai;18;64;82
Jogador 53;Masculino;28/07/1964;Jogo da velha;Argentina;67;28;95
Jogador 54;Feminino;14/10/1962;Dama;Paraguai;38;31;69
Jogador 55;Feminino;20/06/1977;Dama;Brasil;34;29;63
Jogador 56;Feminino;27/01/1959;Dama;Paraguai;;29;80
Jogador 57;Masculino;31/07/2000;Jogo da velha;Paraguai;35;9;44
Jogador 58;Feminino;01/08/1987;Dama;Brasil;2;8;10
Jogador 59;Feminino;25/11/1990;Dama;Chile;9;20;29
Jogador 60;Feminino;26/11/1959;Dama;Uruguai;38;44;82
Jogador 61;Masculino;29/02/1996;Xadrez;Brasil;32;12;44
Jogador 62;Feminino;20/12/1985;Jogo da velha;Chile;9;26;35
Jogador 63;Masculino;23/06/2002;Dama;Uruguai;25;51;76
Jogador 64;Masculino;04/03/1978;Jogo da velha;Paraguai;2;6;8
Jogador 65;Feminino;07/11/1966;Jogo da velha;Paraguai;8;39;47
Jogador 66;Feminino;30/01/1991;Dama;Brasil;34;6;40
Jogador 67;Feminino;29/07/1984;Dama;Paraguai;11;33;44
Jogador 68;Masculino;30/03/1996;Jogo da velha;Chile;34;31;65
Jogador 69;Masculino;15/03/2003;Dama;Chile;52;20;72
Jogador 70;Masculino;09/07/1980;Jogo da velha;Chile;29;60;89
Jogador 71;Masculino;25/06/1988;Dama;Paraguai;2;3;5
Jogador 72;Masculino;27/03/2005;Dama;Paraguai;29;7;
Jogador 73;Feminino;10/06/1975;Xadrez;Argentina;36;38;74
Jogador 74;Masculino;20/11/1969;Jogo da velha;Argentina;18;19;37
Jogador 75;Masculino;22/05/1970;Dama;Paraguai;5;1;6
Jogador 76;Feminino;02/09/1956;Xadrez;Uruguai;11;6;17
Jogador 77;Feminino;01/08/2004;Jogo da velha;Chile;18;9;27
Jogador 78;Feminino;19/11/1981;Xadrez;Uruguai;23;6;29
Jogador 79;Feminino;15/09/1953;Dama;Chile;5;27;32
Jogador 80;Masculino;05/04/1989;Jogo da velha;Chile;1;5;6
Jogador 81;Masculino;23/06/2001;Xadrez;Brasil;25;51;76
Jogador 82;Masculino;24/03/1995;Xadrez;Brasil;38;13;51
Jogador 83;Feminino;15/06/1997;Xadrez;Uruguai;28;51;79
Jogador 84;Masculino;23/07/2000;Jogo da velha;Argentina;1;5;6
Jogador 85;Masculino;07/10/1968;Jogo da velha;Paraguai;20;2;22
Jogador 86;Masculino;07/04/1957;Jogo da velha;Paraguai;6;33;39
Jogador 87;Feminino;25/05/1975;Dama;Argentina;80;6;
Jogador 88;Feminino;21/03/1957;Xadrez;Brasil;50;19;69
Jogador 89;Masculino;26/03/1998;Jogo da velha;Chile;22;9;31
Jogador 90;Masculino;17/12/2002;Jogo da velha;Argentina;2;4;6
Jogador 91;Feminino;18/12/1963;Jogo da velha;Argentina;39;16;55
Jogador 92;Masculino;11/06/1992;Dama;Chile;90;9;99
Jogador 93;Masculino;26/11/1955;Jogo da velha;Paraguai;16;80;96
Jogador 94;Feminino;18/03/1972;Dama;Uruguai;23;3;26
Jogador 95;Masculino;26/12/1951;Dama;Paraguai;6;53;59
Jogador 96;Feminino;13/10/1999;Jogo da velha;Argentina;18;2;20
Jogador 97;Feminino;01/02/1987;Dama;Chile;39;0;39
Jogador 98;Feminino;16/04/1980;Dama;Paraguai;;1;10
Jogador 99;Feminino;18/09/1976;Dama;Brasil;7;20;27
Jogador 100;Masculino;04/12/1967;Dama;Argentina;34;64;98
Jogador 101;Masculino;12/03/1997;Xadrez;Chile;38;2;40
Jogador 102;Feminino;06/02/1984;Dama;Paraguai;12;6;18
Jogador 103;Feminino;28/10/1964;Dama;Paraguai;30;65;95
Jogador 104;Masculino;02/02/1953;Xadrez;Paraguai;6;19;25
Jogador 105;Feminino;22/11/2002;Jogo da velha;Brasil;14;86;100
Jogador 106;Feminino;24/07/1951;Dama;Paraguai;14;2;16
Jogador 107;Feminino;19/02/1990;Dama;Uruguai;1;5;6
Jogador 108;Feminino;01/10/1958;Xadrez;Brasil;5;13;18
